# x_m,y_m,w_tr_right_m,w_tr_left_m
53.33948480000001,-192.668677,7.395,7.905
52.33788140000001,-192.660028,7.384,7.916
51.335982,-192.65200420000002,7.374,7.926
50.33403200000001,-192.6428684,7.363,7.937
49.3323198,-192.63059800000002,7.354,7.946
48.3311338,-192.6131694,7.435,7.865
47.330762,-192.58856000000003,7.516,7.784
46.331493,-192.5547464,7.596,7.704
45.333615,-192.5097058,7.677,7.623
44.3374164,-192.451415,7.742,7.558
43.3431854,-192.37785100000002,7.794,7.506
42.3512106,-192.2869908,7.846,7.454
41.3617798,-192.1768112,7.887,7.413
40.37518180000001,-192.0452894,7.924,7.376
39.391707800000006,-191.8905262,7.96,7.34
38.411686,-191.7121318,7.971,7.329
37.4354692,-191.51072200000002,7.963,7.337
36.463410800000005,-191.2869306,7.955,7.345
35.4958642,-191.0413914,7.947,7.353
34.5331824,-190.77473840000002,7.864,7.436
33.575719,-190.4876054,7.78,7.52
32.6238272,-190.1806262,7.695,7.605
31.677860199999998,-189.8544348,7.633,7.667
30.7381712,-189.509665,7.638,7.662
29.8051138,-189.1469508,7.643,7.657
28.879041200000003,-188.766926,7.649,7.651
27.960306200000005,-188.37022280000002,7.637,7.663
27.0492306,-187.95729120000001,7.619,7.681
26.146075000000003,-187.5282284,7.602,7.698
25.2510932,-187.08309200000002,7.598,7.702
24.364538800000002,-186.621939,7.692,7.608
23.486665400000003,-186.14482660000002,7.786,7.514
22.6177272,-185.651812,7.88,7.42
21.757977600000004,-185.1429526,7.911,7.389
20.907670600000003,-184.61830540000003,7.923,7.377
20.0670596,-184.0779278,7.936,7.364
19.2363986,-183.52187700000002,7.948,7.352
18.415941200000002,-182.95021020000001,7.848,7.452
17.605941400000003,-182.36298440000002,7.721,7.579
16.806666200000002,-181.76025560000002,7.594,7.706
16.0187876,-181.14203460000002,7.505,7.795
15.243439200000001,-180.50828080000002,7.479,7.821
14.4817796,-179.8589508,7.453,7.847
13.734967800000002,-179.1940016,7.427,7.873
13.004162400000002,-178.51338980000003,7.566,7.734
12.2905224,-177.8170722,7.728,7.572
11.5948134,-177.10513860000003,7.89,7.41
10.9164384,-176.3781414,7.98,7.32
10.2545048,-175.6367332,8.056,7.244
9.608120200000002,-174.8815662,8.132,7.168
8.976392,-174.113293,8.073,7.227
8.3584274,-173.332566,8.001,7.299
7.7535712000000006,-172.5399758,7.93,7.37
7.161992,-171.73589760000002,7.81,7.49
6.584039000000001,-170.9206594,7.675,7.625
6.0200608,-170.0945892,7.587,7.713
5.470405800000001,-169.258015,7.643,7.657
4.935423,-168.41126540000002,7.698,7.602
